date,high,low,close
2025-11-13,597.0,-789.0,-351.0
2025-11-14,702.0,-1169.0,-13.0
2025-11-17,410.0,-665.0,118.0
2025-11-18,765.0,-1379.0,-513.0
2025-11-19,1040.0,-1080.0,-266.0
2025-11-20,1575.0,-1271.0,124.0
2025-11-21,1064.0,-1575.0,-214.0
2025-11-24,820.0,-487.0,376.0
2025-11-25,1031.0,-794.0,509.0
2025-11-26,831.0,-613.0,20.0
2025-11-28,665.0,-177.0,282.0
2025-12-01,368.0,-1257.0,-398.0
2025-12-02,824.0,-1151.0,-489.0
2025-12-03,876.0,-979.0,-6.0
2025-12-04,745.0,-654.0,301.0
2025-12-05,686.0,-1162.0,365.0
2025-12-08,325.0,-570.0,-252.0
2025-12-09,632.0,-910.0,73.0
2025-12-10,612.0,-781.0,-167.0
2025-12-11,1246.0,-1061.0,250.0
2025-12-12,782.0,-826.0,-474.0
2025-12-15,1302.0,-797.0,-306.0
2025-12-16,820.0,-1073.0,4.0
2025-12-17,915.0,-995.0,-269.0
2025-12-18,1213.0,-1098.0,491.0
2025-12-19,1048.0,-986.0,61.0
2025-12-22,571.0,-262.0,119.0
2025-12-23,605.0,-772.0,-97.0
2025-12-24,626.0,-642.0,402.0
2025-12-26,379.0,-296.0,124.0
2025-12-29,242.0,-482.0,-222.0
2025-12-30,491.0,-727.0,-116.0
2025-12-31,655.0,-829.0,-85.0
2026-01-02,799.0,-553.0,151.0
2026-01-05,839.0,-221.0,599.0
2026-01-06,665.0,-655.0,32.0
2026-01-07,712.0,-514.0,-197.0
2026-01-08,750.0,-838.0,-83.0
2026-01-09,860.0,-631.0,374.0
2026-01-12,527.0,-705.0,217.0
2026-01-13,734.0,-558.0,252.0
2026-01-14,923.0,-700.0,-356.0
2026-01-15,821.0,-846.0,320.0
2026-01-16,669.0,-838.0,-176.0
2026-01-20,566.0,-1726.0,142.0
2026-01-21,1375.0,-1107.0,410.0
2026-01-22,1381.0,-1035.0,383.0
2026-01-23,733.0,-813.0,46.0
2026-01-26,779.0,-446.0,-446.0
2026-01-27,632.0,-616.0,-292.0
2026-01-28,560.0,-780.0,-71.0
2026-01-29,1016.0,-1250.0,-543.0
2026-01-30,887.0,-1030.0,-654.0
2026-02-02,583.0,-600.0,25.0
2026-02-03,786.0,-813.0,205.0
2026-02-04,884.0,-1209.0,-116.0
2026-02-05,789.0,-1358.0,-441.0
2026-02-06,1266.0,-810.0,148.0
2026-02-09,490.0,-540.0,310.0
2026-02-10,726.0,-929.0,259.0
2026-02-11,788.0,-713.0,-131.0
2026-02-12,963.0,-654.0,84.0
2026-02-13,885.0,-1185.0,525.0
2026-02-17,544.0,-926.0,-116.0
2026-02-18,951.0,-968.0,386.0
2026-02-19,573.0,-1143.0,-340.0
2026-02-20,1090.0,-1080.0,-36.0
2026-02-23,55.0,-842.0,18.0
2026-02-24,654.0,-865.0,406.0
2026-02-25,909.0,-709.0,1.0
2026-02-26,847.0,-721.0,40.0
2026-02-27,868.0,-833.0,95.0
2026-03-02,537.0,-1159.0,9.0
2026-03-03,997.0,-1663.0,-307.0
2026-03-04,977.0,-817.0,191.0
2026-03-05,721.0,-1207.0,-27.0
2026-03-06,857.0,-1505.0,133.0
2026-03-09,540.0,-1409.0,174.0
2026-03-10,1406.0,-730.0,513.0
2026-03-11,1076.0,-1274.0,-759.0
2026-03-12,911.0,-1352.0,-355.0
2026-03-13,1143.0,-1144.0,-515.0
2026-03-16,1521.0,-635.0,183.0
2026-03-17,1443.0,-1079.0,-154.0
2026-03-18,723.0,-1026.0,-265.0
2026-03-19,923.0,-1518.0,18.0
2026-03-20,1398.0,-1146.0,-456.0
2026-03-23,1340.0,-445.0,-339.0
2026-03-24,1243.0,-1428.0,277.0
2026-03-25,1523.0,-1339.0,852.0
2026-03-26,1033.0,-1386.0,-470.0
2026-03-27,831.0,-1269.0,237.0
2026-03-30,1517.0,-521.0,-103.0
2026-03-31,1646.0,-1140.0,-89.0
2026-04-01,1522.0,-770.0,132.0
2026-04-02,1316.0,-1391.0,442.0
2026-04-06,903.0,-713.0,53.0
2026-04-07,977.0,-1155.0,293.0
2026-04-08,1380.0,-1108.0,-24.0
2026-04-09,933.0,-1054.0,207.0
2026-04-10,1271.0,-982.0,-164.0
2026-04-13,511.0,-902.0,-10.0
2026-04-14,956.0,-401.0,405.0
2026-04-15,920.0,-788.0,318.0
2026-04-16,743.0,-713.0,-417.0
2026-04-17,1264.0,-933.0,222.0
2026-04-20,572.0,-865.0,188.0
2026-04-21,612.0,-1044.0,-369.0
2026-04-22,1170.0,-1332.0,322.0
2026-04-23,619.0,-728.0,141.0
2026-04-24,858.0,-1261.0,10.0
2026-04-27,642.0,-519.0,-264.0
2026-04-28,488.0,-676.0,-151.0
2026-04-29,439.0,-626.0,6.0
2026-04-30,685.0,-1066.0,314.0
2026-05-01,746.0,-413.0,167.0
2026-05-04,428.0,-1037.0,-457.0
2026-05-05,832.0,-1438.0,232.0
2026-05-06,946.0,-699.0,-93.0
2026-05-07,690.0,-532.0,-49.0
2026-05-08,763.0,-894.0,181.0
2026-05-11,404.0,-533.0,-168.0
